game_id,track,difficulty,offGroundRatio,speedDropCount,steerChanges,FrustrationScore
102781,zengarden,easy,0.0,1,93,19.0
106334,volcano_island,easy,0.6900584795321637,0,249,50.07602339181287
121576,black_forest,easy,0.3675273319376599,3,298,60.947010932775065
121759,minigolf,medium,9.384647046717431,4,117,28.753858818686975
135048,hacienda,medium,6.35782362166727,3,112,26.14312944866691
136090,cocoa_temple,medium,2.2162092513851306,2,110,23.686483700554053
147672,black_forest,hard,1.2017625851248497,3,209,43.48070503404995
159095,candela_city,hard,2.7628223292717484,1,72,15.905128931708699
159958,xr591,best,5.7034220532319395,6,100,24.68136882129278
161460,cornfield_crossing,easy,2.0352654286250234,0,149,30.61410617145001
166325,ravenbridge_mansion,easy,3.869895536562203,3,169,36.547958214624884
174025,stk_enterprise,medium,3.246500777604977,4,124,27.698600311041993
180761,sandtrack,best,2.645113886847906,1,99,21.258045554739162
186498,lighthouse,easy,3.2999266682962602,2,118,25.719970667318506
187025,abyss,best,1.8915013792197555,1,96,20.356600551687904
187711,cocoa_temple,hard,6.616997095592877,4,118,27.846798838237152
190127,volcano_island,best,3.3953404370597795,2,195,41.15813617482391
205080,mines,hard,2.740552939756127,5,122,27.496221175902452
209755,cocoa_temple,best,4.668735663203346,2,115,25.667494265281338
210356,black_forest,medium,0.005763688760806917,4,252,52.00230547550433
212162,gran_paradiso_island,best,0.0,3,113,23.8
215252,gran_paradiso_island,medium,0.010849517196484757,0,126,25.204339806878597
228116,hacienda,best,5.815130912773037,1,78,18.326052365109216
249374,abyss,hard,2.2670025188916876,2,86,18.906801007556673
255055,minigolf,best,10.373321528700014,10,86,25.349328611480004
257006,snowtuxpeak,best,7.0788394349080965,4,89,22.231535773963238
260073,zengarden,medium,8.760306242638398,7,79,22.10412249705536
263226,olivermath,medium,2.3178016726403823,3,44,10.927120669056155
265857,stk_enterprise,medium,3.196478131878649,2,133,28.67859125275146
271699,hacienda,hard,6.256742179072276,4,102,24.502696871628913
273686,abyss,easy,0.0,0,148,29.6
274796,snowmountain,hard,3.2424365757699087,3,90,20.496974630307964
281606,black_forest,hard,4.698586846341899,12,221,50.879434738536766
297825,hacienda,medium,0.0,0,100,20.0
298921,ravenbridge_mansion,hard,6.64259927797834,3,113,26.45703971119134
302325,candela_city,best,3.9649681528662417,3,69,16.5859872611465
310516,xr591,best,15.803687837586141,10,128,35.921475135034456
311453,cornfield_crossing,medium,2.5017293059718697,0,136,28.20069172238875
312202,cocoa_temple,easy,1.6360505166475316,1,127,26.454420206659016
314828,xr591,medium,8.087631218621635,6,146,34.83505248744866
326304,olivermath,easy,2.1001312582036378,1,81,17.440052503281454
329447,mines,best,8.83248730964467,8,122,31.132994923857872
330412,snowmountain,best,0.0,2,92,19.200000000000003
349252,ravenbridge_mansion,medium,8.962710581109217,7,146,35.58508423244369
352144,scotland,medium,1.7481662591687042,0,114,23.49926650366748
370784,fortmagma,medium,0.30243261012491784,2,99,20.720973044049966
375590,candela_city,hard,4.549418604651163,3,97,22.41976744186047
376266,zengarden,best,0.0,3,64,14.0
383102,xr591,easy,5.01598416806211,8,186,42.40639366722485
396615,ravenbridge_mansion,hard,3.5475394171046344,1,120,25.819015766841854
407664,olivermath,hard,7.165605095541401,7,65,18.66624203821656
418826,candela_city,easy,0.0,0,136,27.200000000000003
419161,olivermath,medium,0.0,3,56,12.400000000000002
420285,volcano_island,hard,3.8122217725617156,4,210,45.12488870902469
423244,scotland,easy,0.0,4,143,30.200000000000003
427552,mines,medium,2.2067788344306267,4,112,24.88271153377225
435911,cornfield_crossing,best,4.822643343051506,2,99,22.529057337220603
444937,zengarden,hard,3.6799707067008423,2,68,15.871988282680338
456080,cornfield_crossing,best,4.652661425441423,5,90,21.86106457017657
465908,snowtuxpeak,hard,12.50891456282984,4,93,25.20356582513194
470647,mines,medium,0.2787540904132832,1,138,28.111501636165315
472697,volcano_island,medium,0.9526760127023468,1,196,39.98107040508094
478395,olivermath,hard,0.0,1,48,10.000000000000002
481327,scotland,easy,0.0,0,134,26.8
488011,abyss,hard,0.0,1,112,22.8
493237,mines,hard,9.749514143813432,6,118,29.899805657525377
498561,lighthouse,hard,0.0,0,64,12.8
499017,stk_enterprise,easy,1.2065421396013942,0,140,28.482616855840558
505878,gran_paradiso_island,hard,5.745177019291923,5,141,32.49807080771677
509709,abyss,easy,0.0,0,0,0.0
514790,candela_city,easy,0.0,1,108,22.0
523544,volcano_island,best,3.115022866511347,4,197,42.24600914660454
524018,xr591,hard,3.314010718582522,7,107,25.525604287433012
524896,zengarden,medium,0.0,3,71,15.400000000000002
532907,mines,best,3.9075469288724305,8,112,27.163018771548977
544553,lighthouse,best,0.0,2,77,16.2
547785,stk_enterprise,easy,1.0857853294653959,0,154,31.23431413178616
561034,hacienda,best,4.915492957746479,2,85,19.76619718309859
561069,sandtrack,best,2.009273570324575,6,66,16.40370942812983
561469,black_forest,best,4.220522289633342,10,217,49.08820891585334
566338,cornfield_crossing,hard,5.1087376142066665,3,103,23.84349504568267
575327,candela_city,best,3.8615384615384616,5,77,18.944615384615386
578792,xr591,hard,9.867009867009866,5,121,30.14680394680395
589703,sandtrack,hard,0.0,1,106,21.6
590308,snowmountain,best,0.0,0,82,16.400000000000002
612030,cocoa_temple,medium,7.0989010989010985,4,137,31.839560439560444
613056,snowmountain,medium,0.0,1,104,21.2
619604,zengarden,best,4.1012838801711835,2,75,17.440513552068474
620099,ravenbridge_mansion,best,3.406645947884294,1,115,24.762658379153716
624077,black_forest,easy,1.6618463939769543,4,304,63.064738557590786
630305,fortmagma,medium,0.6583366921940078,0,107,21.663334676877604
645443,abyss,easy,0.0,1,156,31.6
646011,cornfield_crossing,easy,2.0641111005421857,0,144,29.625644440216874
651412,stk_enterprise,hard,5.474872009194442,10,108,27.789948803677778
652572,xr591,easy,2.1646725440806045,3,138,29.665869017632243
660984,olivermath,easy,0.0,2,60,12.8
662625,gran_paradiso_island,medium,1.8036870951669157,4,156,33.521474838066766
670812,scotland,medium,2.14107291542762,3,117,25.45642916617105
673995,fortmagma,best,6.1789679947746565,6,99,24.671587197909865
686596,minigolf,medium,5.206788597792058,4,82,20.082715439116825
690789,snowmountain,easy,3.0677251788689603,1,140,29.627090071547585
692721,snowmountain,medium,4.882585445245292,3,117,26.55303417809812
698397,lighthouse,medium,0.0,0,83,16.6
707958,minigolf,easy,0.44316996871741393,0,88,17.777267987486965
709839,snowtuxpeak,best,12.070744288872513,5,86,24.028297715549005
710715,sandtrack,easy,0.8576814326107445,0,160,32.343072573044296
711900,snowtuxpeak,hard,0.0,0,75,15.0
714450,hacienda,easy,1.5896724634588713,0,128,26.23586898538355
723363,black_forest,best,4.512635379061372,15,249,57.60505415162455
725358,scotland,best,2.632733655111891,2,97,21.25309346204476
727992,olivermath,best,0.0,2,54,11.600000000000001
728887,cocoa_temple,hard,2.7712418300653594,3,100,22.308496732026143
730537,stk_enterprise,hard,6.945186451543968,12,115,30.57807458061759
731886,fortmagma,easy,0.1193576388888889,2,130,26.847743055555554
733363,ravenbridge_mansion,best,9.67741935483871,2,113,27.270967741935486
743102,candela_city,medium,0.0,0,94,18.8
743309,lighthouse,medium,1.9517036056897121,2,84,18.380681442275886
745227,snowmountain,easy,4.228879684038147,3,135,29.89155187361526
745735,snowtuxpeak,medium,5.896805896805897,5,107,25.75872235872236
746691,cocoa_temple,easy,1.5719801434087146,1,117,24.428792057363488
755100,scotland,hard,5.1215917464996314,3,112,25.648636698599855
756368,snowtuxpeak,easy,0.0,0,84,16.8
758626,volcano_island,easy,0.6659205372132065,0,244,49.06636821488529
761027,sandtrack,medium,0.7147719537100068,4,110,23.885908781484
767791,mines,easy,3.6584277683590614,3,133,29.263371107343627
770260,minigolf,hard,6.605773935736421,7,76,20.642309574294572
770347,hacienda,hard,4.458512931034483,2,84,19.383405172413795
791465,snowtuxpeak,medium,0.0,0,96,19.200000000000003
794706,snowtuxpeak,easy,2.3894862604540026,2,141,29.955794504181604
796582,sandtrack,easy,0.0,1,122,24.8
802938,stk_enterprise,best,2.253746710902643,7,100,23.701498684361056
806010,ravenbridge_mansion,easy,4.700251098556183,2,177,38.08010043942247
824218,minigolf,easy,2.831693698484446,2,112,24.33267747939378
828751,fortmagma,best,4.385474860335195,3,89,20.75418994413408
831673,mines,easy,3.905390539053905,3,141,30.962156215621565
836525,lighthouse,hard,3.091190108191654,3,82,18.836476043276665
837668,minigolf,best,7.777236564377334,5,64,17.910894625750934
839486,cocoa_temple,best,8.069200656648565,3,115,27.427680262659425
845081,zengarden,easy,0.0,0,107,21.400000000000002
847886,cornfield_crossing,hard,2.7845502373925317,2,96,21.113820094957017
852081,gran_paradiso_island,easy,2.4783765801729873,1,159,33.191350632069195
852082,xr591,medium,11.054108992353113,6,132,33.22164359694125
852667,zengarden,hard,4.773082942097027,4,74,18.309233176838813
854226,fortmagma,easy,1.7201834862385321,3,134,28.688073394495415
871357,scotland,hard,0.0,1,103,21.0
877691,scotland,best,0.0,2,98,20.400000000000002
888401,abyss,best,0.0,1,102,20.8
895514,cornfield_crossing,medium,2.7774222449763215,0,95,20.110968897990528
900099,fortmagma,hard,4.680102799945895,3,101,23.27204111997836
911858,candela_city,medium,0.0,1,84,17.2
915163,lighthouse,easy,0.0,0,96,19.200000000000003
920786,volcano_island,hard,5.80581404924648,5,225,49.32232561969859
921967,volcano_island,medium,0.9203865623561895,1,209,42.56815462494248
930210,ravenbridge_mansion,medium,2.6379690949227372,2,151,32.0551876379691
930339,stk_enterprise,best,4.811964885661645,8,91,23.32478595426466
939208,snowmountain,hard,12.749202551834129,5,123,31.699681020733653
940892,gran_paradiso_island,easy,0.0,0,170,34.0
954939,sandtrack,medium,1.5088645794039985,0,126,25.803545831761603
959523,minigolf,hard,5.044883303411131,4,70,17.617953321364453
963549,gran_paradiso_island,hard,0.0,3,116,24.400000000000002
978962,olivermath,best,4.761904761904762,3,39,10.904761904761905
980570,hacienda,easy,0.0,0,143,28.6
981688,abyss,medium,4.536616979909268,2,147,32.01464679196371
981874,black_forest,medium,1.6090516261087107,7,258,55.043620650443486
982831,lighthouse,best,5.897771952817824,2,79,18.95910878112713
993222,sandtrack,hard,3.0199972792817302,1,110,23.60799891171269
993609,abyss,medium,0.0,1,125,25.4
994982,gran_paradiso_island,best,0.0,4,97,21.000000000000004
995251,fortmagma,hard,6.344086021505377,3,102,24.137634408602153
